cluster,id_texto,sil_texto
0,762,-1.0
0,1918,-1.0
0,2134,-1.0
0,2219,-1.0
0,2224,-1.0
1,19,-1.0
1,51,-1.0
1,105,-1.0
1,145,-1.0
1,158,-1.0
1,182,-1.0
1,199,-1.0
1,240,-1.0
1,242,-1.0
1,244,-1.0
1,248,-1.0
1,251,-1.0
1,257,-1.0
1,265,-1.0
1,276,-1.0
1,283,-1.0
1,286,-1.0
1,329,-1.0
1,352,-1.0
1,355,-1.0
1,486,-1.0
1,500,-1.0
1,640,-1.0
1,657,-1.0
1,765,-1.0
1,862,-1.0
1,896,-1.0
1,898,-1.0
1,900,-1.0
1,902,-1.0
1,903,-1.0
1,904,-1.0
1,906,-1.0
1,908,-1.0
1,909,-1.0
1,915,-1.0
1,916,-1.0
1,917,-1.0
1,922,-1.0
1,928,-1.0
1,929,-1.0
1,931,-1.0
1,934,-1.0
1,935,-1.0
1,936,-1.0
1,937,-1.0
1,941,-1.0
1,943,-1.0
1,944,-1.0
1,945,-1.0
1,950,-1.0
1,954,-1.0
1,957,-1.0
1,962,-1.0
1,963,-1.0
1,964,-1.0
1,965,-1.0
1,967,-1.0
1,968,-1.0
1,972,-1.0
1,973,-1.0
1,974,-1.0
1,975,-1.0
1,976,-1.0
1,977,-1.0
1,980,-1.0
1,982,-1.0
1,983,-1.0
1,984,-1.0
1,987,-1.0
1,990,-1.0
1,991,-1.0
1,992,-1.0
1,994,-1.0
1,996,-1.0
1,997,-1.0
1,1000,-1.0
1,1001,-1.0
1,1002,-1.0
1,1005,-1.0
1,1006,-1.0
1,1007,-1.0
1,1010,-1.0
1,1011,-1.0
1,1013,-1.0
1,1017,-1.0
1,1019,-1.0
1,1022,-1.0
1,1023,-1.0
1,1025,-1.0
1,1030,-1.0
1,1036,-1.0
1,1037,-1.0
1,1038,-1.0
1,1042,-1.0
1,1043,-1.0
1,1044,-1.0
1,1048,-1.0
1,1054,-1.0
1,1055,-1.0
1,1060,-1.0
1,1062,-1.0
1,1063,-1.0
1,1069,-1.0
1,1070,-1.0
1,1071,-1.0
1,1072,-1.0
1,1075,-1.0
1,1077,-1.0
1,1079,-1.0
1,1081,-1.0
1,1084,-1.0
1,1087,-1.0
1,1088,-1.0
1,1091,-1.0
1,1093,-1.0
1,1095,-1.0
1,1096,-1.0
1,1097,-1.0
1,1099,-1.0
1,1102,-1.0
1,1105,-1.0
1,1106,-1.0
1,1108,-1.0
1,1110,-1.0
1,1111,-1.0
1,1113,-1.0
1,1115,-1.0
1,1116,-1.0
1,1118,-1.0
1,1119,-1.0
1,1120,-1.0
1,1121,-1.0
1,1122,-1.0
1,1123,-1.0
1,1129,-1.0
1,1133,-1.0
1,1136,-1.0
1,1137,-1.0
1,1140,-1.0
1,1145,-1.0
1,1146,-1.0
1,1147,-1.0
1,1148,-1.0
1,1149,-1.0
1,1150,-1.0
1,1151,-1.0
1,1152,-1.0
1,1153,-1.0
1,1154,-1.0
1,1155,-1.0
1,1156,-1.0
1,1157,-1.0
1,1158,-1.0
1,1159,-1.0
1,1160,-1.0
1,1162,-1.0
1,1163,-1.0
1,1165,-1.0
1,1166,-1.0
1,1167,-1.0
1,1168,-1.0
1,1170,-1.0
1,1171,-1.0
1,1172,-1.0
1,1173,-1.0
1,1174,-1.0
1,1176,-1.0
1,1177,-1.0
1,1178,-1.0
1,1179,-1.0
1,1184,-1.0
1,1185,-1.0
1,1187,-1.0
1,1188,-1.0
1,1189,-1.0
1,1190,-1.0
1,1192,-1.0
1,1193,-1.0
1,1194,-1.0
1,1195,-1.0
1,1196,-1.0
1,1197,-1.0
1,1198,-1.0
1,1200,-1.0
