cluster,id_texto,sil_texto
0,2219,-1.0
1,105,-1.0
1,145,-1.0
1,199,-1.0
1,240,-1.0
1,244,-1.0
1,265,-1.0
1,283,-1.0
1,286,-1.0
1,486,-1.0
1,765,-1.0
1,904,-1.0
1,916,-1.0
1,917,-1.0
1,928,-1.0
1,963,-1.0
1,965,-1.0
1,974,-1.0
1,983,-1.0
1,984,-1.0
1,1023,-1.0
1,1025,-1.0
1,1036,-1.0
1,1037,-1.0
1,1063,-1.0
1,1069,-1.0
1,1081,-1.0
1,1087,-1.0
1,1108,-1.0
1,1113,-1.0
1,1115,-1.0
1,1118,-1.0
1,1121,-1.0
1,1147,-1.0
1,1149,-1.0
1,1154,-1.0
1,1158,-1.0
1,1165,-1.0
1,1167,-1.0
1,1172,-1.0
1,1187,-1.0
1,1190,-1.0
1,1194,-1.0
1,1197,-1.0
1,1210,-1.0
1,1212,-1.0
1,1217,-1.0
1,1226,-1.0
1,1230,-1.0
1,1241,-1.0
1,1244,-1.0
1,1246,-1.0
1,1250,-1.0
1,1251,-1.0
1,1256,-1.0
1,1269,-1.0
1,1283,-1.0
1,1285,-1.0
1,1291,-1.0
1,1294,-1.0
1,1296,-1.0
1,1297,-1.0
1,1298,-1.0
1,1424,-1.0
1,1433,-1.0
1,1834,-1.0
1,1854,-1.0
1,1890,-1.0
1,1921,-1.0
1,1933,-1.0
1,1946,-1.0
1,1979,-1.0
1,1987,-1.0
1,2007,-1.0
1,2011,-1.0
1,2016,-1.0
1,2031,-1.0
1,2045,-1.0
1,2048,-1.0
1,2088,-1.0
1,2114,-1.0
1,2129,-1.0
1,2135,-1.0
1,2139,-1.0
1,2173,-1.0
1,2184,-1.0
1,2209,-1.0
1,2211,-1.0
3,0,-1.0
3,1,-1.0
3,6,-1.0
3,7,-1.0
3,26,-1.0
3,28,-1.0
3,30,-1.0
3,32,-1.0
3,34,-1.0
3,35,-1.0
3,42,-1.0
3,46,-1.0
3,48,-1.0
3,52,-1.0
3,53,-1.0
3,57,-1.0
3,67,-1.0
3,72,-1.0
3,73,-1.0
3,75,-1.0
3,79,-1.0
3,83,-1.0
3,85,-1.0
3,87,-1.0
3,93,-1.0
3,100,-1.0
3,102,-1.0
3,106,-1.0
3,108,-1.0
3,110,-1.0
3,111,-1.0
3,120,-1.0
3,121,-1.0
3,132,-1.0
3,138,-1.0
3,153,-1.0
3,157,-1.0
3,160,-1.0
3,161,-1.0
3,171,-1.0
3,174,-1.0
3,175,-1.0
3,193,-1.0
3,195,-1.0
3,198,-1.0
3,202,-1.0
3,212,-1.0
3,215,-1.0
3,221,-1.0
3,223,-1.0
3,225,-1.0
3,226,-1.0
3,229,-1.0
3,252,-1.0
3,260,-1.0
3,268,-1.0
3,282,-1.0
3,289,-1.0
3,294,-1.0
3,298,-1.0
3,300,-1.0
3,302,-1.0
3,323,-1.0
3,325,-1.0
3,332,-1.0
3,337,-1.0
3,346,-1.0
3,348,-1.0
3,358,-1.0
3,360,-1.0
3,361,-1.0
3,365,-1.0
3,368,-1.0
3,374,-1.0
3,375,-1.0
3,376,-1.0
3,384,-1.0
3,386,-1.0
3,407,-1.0
3,408,-1.0
3,412,-1.0
3,414,-1.0
3,438,-1.0
3,443,-1.0
3,449,-1.0
3,454,-1.0
3,456,-1.0
3,458,-1.0
3,466,-1.0
3,471,-1.0
3,472,-1.0
3,475,-1.0
3,477,-1.0
3,482,-1.0
3,487,-1.0
3,492,-1.0
3,493,-1.0
3,496,-1.0
3,498,-1.0
3,499,-1.0
3,505,-1.0
3,510,-1.0
3,518,-1.0
3,520,-1.0
3,522,-1.0
3,528,-1.0
3,537,-1.0
3,538,-1.0
3,551,-1.0
3,556,-1.0
3,561,-1.0
3,575,-1.0
3,579,-1.0
3,580,-1.0
3,583,-1.0
3,588,-1.0
3,590,-1.0
3,594,-1.0
3,599,-1.0
3,602,-1.0
3,605,-1.0
3,609,-1.0
3,611,-1.0
3,614,-1.0
3,617,-1.0
3,620,-1.0
3,625,-1.0
3,630,-1.0
3,632,-1.0
3,633,-1.0
3,634,-1.0
3,639,-1.0
3,646,-1.0
3,654,-1.0
3,658,-1.0
3,659,-1.0
3,666,-1.0
3,669,-1.0
3,672,-1.0
3,679,-1.0
3,685,-1.0
3,687,-1.0
3,691,-1.0
3,700,-1.0
3,701,-1.0
3,709,-1.0
3,719,-1.0
3,724,-1.0
3,730,-1.0
3,735,-1.0
3,738,-1.0
3,747,-1.0
3,748,-1.0
3,753,-1.0
3,754,-1.0
3,756,-1.0
3,758,-1.0
3,767,-1.0
3,771,-1.0
3,780,-1.0
3,786,-1.0
3,791,-1.0
3,793,-1.0
3,796,-1.0
3,798,-1.0
3,801,-1.0
3,806,-1.0
3,811,-1.0
3,813,-1.0
3,816,-1.0
3,822,-1.0
3,844,-1.0
3,851,-1.0
3,853,-1.0
3,855,-1.0
3,856,-1.0
3,857,-1.0
3,858,-1.0
3,859,-1.0
3,860,-1.0
3,864,-1.0
3,865,-1.0
3,867,-1.0
3,869,-1.0
3,872,-1.0
3,880,-1.0
3,882,-1.0
3,883,-1.0
3,885,-1.0
3,887,-1.0
3,907,-1.0
3,911,-1.0
3,912,-1.0
3,938,-1.0
3,940,-1.0
3,951,-1.0
3,956,-1.0
3,966,-1.0
3,999,-1.0
3,1004,-1.0
3,1014,-1.0
3,1020,-1.0
3,1024,-1.0
3,1028,-1.0
3,1029,-1.0
3,1039,-1.0
3,1041,-1.0
3,1061,-1.0
3,1092,-1.0
3,1107,-1.0
3,1114,-1.0
3,1131,-1.0
3,1144,-1.0
3,1175,-1.0
3,1180,-1.0
3,1204,-1.0
3,1253,-1.0
3,1258,-1.0
3,1272,-1.0
3,1276,-1.0
3,1286,-1.0
3,1287,-1.0
3,1293,-1.0
3,1328,-1.0
3,1335,-1.0
3,1341,-1.0
3,1343,-1.0
3,1344,-1.0
3,1349,-1.0
3,1353,-1.0
3,1358,-1.0
3,1361,-1.0
3,1373,-1.0
3,1380,-1.0
3,1386,-1.0
3,1391,-1.0
3,1398,-1.0
3,1401,-1.0
3,1402,-1.0
3,1406,-1.0
3,1422,-1.0
3,1423,-1.0
3,1439,-1.0
3,1456,-1.0
3,1467,-1.0
3,1475,-1.0
3,1479,-1.0
3,1484,-1.0
3,1487,-1.0
3,1489,-1.0
3,1491,-1.0
3,1501,-1.0
3,1507,-1.0
3,1511,-1.0
3,1516,-1.0
3,1520,-1.0
3,1526,-1.0
3,1532,-1.0
3,1538,-1.0
3,1540,-1.0
3,1544,-1.0
3,1548,-1.0
3,1557,-1.0
3,1575,-1.0
3,1581,-1.0
3,1590,-1.0
3,1593,-1.0
3,1594,-1.0
3,1605,-1.0
3,1608,-1.0
3,1626,-1.0
3,1628,-1.0
3,1635,-1.0
3,1642,-1.0
3,1644,-1.0
3,1656,-1.0
3,1664,-1.0
3,1668,-1.0
3,1669,-1.0
3,1672,-1.0
3,1673,-1.0
3,1677,-1.0
3,1678,-1.0
3,1686,-1.0
3,1694,-1.0
3,1697,-1.0
3,1703,-1.0
3,1710,-1.0
3,1714,-1.0
3,1717,-1.0
3,1720,-1.0
3,1724,-1.0
3,1726,-1.0
3,1728,-1.0
3,1733,-1.0
3,1734,-1.0
3,1743,-1.0
3,1746,-1.0
3,1747,-1.0
3,1748,-1.0
3,1749,-1.0
3,1755,-1.0
3,1760,-1.0
3,1764,-1.0
3,1765,-1.0
3,1773,-1.0
3,1776,-1.0
3,1778,-1.0
3,1789,-1.0
3,1791,-1.0
3,1800,-1.0
3,1829,-1.0
3,1836,-1.0
3,1848,-1.0
3,1853,-1.0
3,1862,-1.0
3,1867,-1.0
3,1871,-1.0
3,1874,-1.0
3,1881,-1.0
3,1907,-1.0
3,1923,-1.0
3,1925,-1.0
3,1930,-1.0
3,1937,-1.0
3,1938,-1.0
3,1939,-1.0
3,1944,-1.0
3,1950,-1.0
3,1959,-1.0
3,1970,-1.0
3,1977,-1.0
3,1985,-1.0
3,1989,-1.0
3,1999,-1.0
3,2002,-1.0
3,2013,-1.0
3,2019,-1.0
