cluster,id_texto,sil_texto
1,4,-1.0
1,5,-1.0
1,13,-1.0
1,23,-1.0
1,25,-1.0
1,29,-1.0
1,36,-1.0
1,38,-1.0
1,59,-1.0
1,60,-1.0
1,62,-1.0
1,74,-1.0
1,77,-1.0
1,85,-1.0
1,86,-1.0
1,91,-1.0
1,101,-1.0
1,104,-1.0
1,106,-1.0
1,111,-1.0
1,112,-1.0
1,116,-1.0
1,123,-1.0
1,125,-1.0
1,127,-1.0
1,135,-1.0
1,139,-1.0
1,146,-1.0
1,159,-1.0
1,163,-1.0
1,165,-1.0
1,181,-1.0
1,184,-1.0
1,186,-1.0
1,192,-1.0
1,194,-1.0
1,196,-1.0
1,197,-1.0
1,206,-1.0
1,207,-1.0
1,211,-1.0
1,225,-1.0
1,234,-1.0
1,235,-1.0
1,237,-1.0
1,238,-1.0
1,239,-1.0
1,241,-1.0
1,245,-1.0
1,249,-1.0
1,253,-1.0
1,258,-1.0
1,268,-1.0
1,277,-1.0
1,285,-1.0
1,294,-1.0
1,315,-1.0
1,318,-1.0
1,334,-1.0
1,342,-1.0
1,350,-1.0
1,351,-1.0
1,356,-1.0
1,364,-1.0
1,365,-1.0
1,366,-1.0
1,376,-1.0
1,385,-1.0
1,388,-1.0
1,390,-1.0
1,392,-1.0
1,396,-1.0
1,397,-1.0
1,399,-1.0
1,405,-1.0
1,406,-1.0
1,408,-1.0
1,410,-1.0
1,419,-1.0
1,421,-1.0
1,422,-1.0
1,423,-1.0
1,426,-1.0
1,429,-1.0
1,430,-1.0
1,433,-1.0
1,437,-1.0
1,440,-1.0
1,445,-1.0
1,449,-1.0
1,451,-1.0
1,464,-1.0
1,471,-1.0
1,477,-1.0
1,480,-1.0
1,485,-1.0
1,493,-1.0
1,495,-1.0
1,509,-1.0
1,517,-1.0
1,520,-1.0
1,523,-1.0
1,524,-1.0
1,525,-1.0
1,527,-1.0
1,530,-1.0
1,535,-1.0
1,536,-1.0
1,537,-1.0
1,539,-1.0
1,548,-1.0
1,554,-1.0
1,570,-1.0
1,573,-1.0
1,575,-1.0
1,581,-1.0
1,598,-1.0
1,599,-1.0
1,604,-1.0
1,610,-1.0
1,612,-1.0
1,615,-1.0
1,616,-1.0
1,621,-1.0
1,628,-1.0
1,630,-1.0
1,642,-1.0
1,648,-1.0
1,663,-1.0
1,664,-1.0
1,674,-1.0
1,676,-1.0
1,679,-1.0
1,688,-1.0
1,692,-1.0
1,693,-1.0
1,701,-1.0
1,707,-1.0
1,712,-1.0
1,713,-1.0
1,715,-1.0
1,716,-1.0
1,717,-1.0
1,724,-1.0
1,729,-1.0
1,732,-1.0
1,741,-1.0
1,743,-1.0
1,748,-1.0
1,749,-1.0
1,757,-1.0
1,767,-1.0
1,769,-1.0
1,774,-1.0
1,784,-1.0
1,788,-1.0
1,797,-1.0
1,798,-1.0
1,803,-1.0
1,815,-1.0
1,819,-1.0
1,824,-1.0
1,826,-1.0
1,827,-1.0
1,830,-1.0
1,835,-1.0
1,851,-1.0
1,852,-1.0
1,858,-1.0
1,859,-1.0
1,871,-1.0
1,873,-1.0
1,877,-1.0
1,879,-1.0
1,881,-1.0
1,888,-1.0
1,889,-1.0
1,892,-1.0
1,897,-1.0
1,899,-1.0
1,901,-1.0
1,902,-1.0
1,909,-1.0
1,914,-1.0
1,924,-1.0
1,931,-1.0
1,936,-1.0
1,941,-1.0
1,946,-1.0
1,948,-1.0
1,949,-1.0
1,965,-1.0
1,977,-1.0
1,1016,-1.0
1,1019,-1.0
1,1023,-1.0
1,1027,-1.0
1,1036,-1.0
1,1051,-1.0
1,1054,-1.0
1,1059,-1.0
1,1063,-1.0
1,1069,-1.0
1,1079,-1.0
1,1080,-1.0
1,1081,-1.0
1,1086,-1.0
1,1090,-1.0
1,1093,-1.0
1,1095,-1.0
1,1098,-1.0
1,1099,-1.0
1,1103,-1.0
1,1104,-1.0
1,1114,-1.0
1,1119,-1.0
1,1131,-1.0
1,1132,-1.0
1,1134,-1.0
1,1137,-1.0
1,1139,-1.0
1,1144,-1.0
1,1148,-1.0
1,1150,-1.0
1,1151,-1.0
1,1153,-1.0
1,1157,-1.0
1,1160,-1.0
1,1161,-1.0
1,1166,-1.0
1,1175,-1.0
1,1192,-1.0
1,1212,-1.0
1,1213,-1.0
1,1218,-1.0
1,1220,-1.0
1,1224,-1.0
1,1225,-1.0
1,1228,-1.0
1,1231,-1.0
1,1235,-1.0
1,1243,-1.0
1,1255,-1.0
1,1259,-1.0
1,1262,-1.0
1,1266,-1.0
1,1272,-1.0
1,1287,-1.0
1,1298,-1.0
1,1307,-1.0
1,1308,-1.0
1,1310,-1.0
1,1313,-1.0
1,1314,-1.0
1,1337,-1.0
1,1339,-1.0
1,1347,-1.0
1,1349,-1.0
1,1361,-1.0
1,1362,-1.0
1,1363,-1.0
1,1369,-1.0
1,1373,-1.0
1,1380,-1.0
1,1391,-1.0
1,1393,-1.0
1,1408,-1.0
1,1411,-1.0
1,1415,-1.0
1,1426,-1.0
1,1434,-1.0
1,1436,-1.0
1,1439,-1.0
1,1443,-1.0
1,1458,-1.0
1,1462,-1.0
1,1467,-1.0
1,1471,-1.0
1,1474,-1.0
1,1479,-1.0
1,1480,-1.0
1,1481,-1.0
1,1482,-1.0
1,1486,-1.0
1,1489,-1.0
1,1497,-1.0
1,1501,-1.0
