cluster,id_texto,sil_texto
1,2,-1.0
1,3,-1.0
1,4,-1.0
1,6,-1.0
1,7,-1.0
1,8,-1.0
1,12,-1.0
1,17,-1.0
1,21,-1.0
1,22,-1.0
1,30,-1.0
1,41,-1.0
1,43,-1.0
1,47,-1.0
1,48,-1.0
1,50,-1.0
1,51,-1.0
1,56,-1.0
1,65,-1.0
1,73,-1.0
1,76,-1.0
1,77,-1.0
1,82,-1.0
1,85,-1.0
1,86,-1.0
1,87,-1.0
1,97,-1.0
1,104,-1.0
1,105,-1.0
1,111,-1.0
1,112,-1.0
1,114,-1.0
1,117,-1.0
1,120,-1.0
1,121,-1.0
1,124,-1.0
1,138,-1.0
1,139,-1.0
1,143,-1.0
1,145,-1.0
1,146,-1.0
1,147,-1.0
1,151,-1.0
1,154,-1.0
1,163,-1.0
1,165,-1.0
1,169,-1.0
1,175,-1.0
1,179,-1.0
1,181,-1.0
1,183,-1.0
1,185,-1.0
1,192,-1.0
1,193,-1.0
1,201,-1.0
1,213,-1.0
1,220,-1.0
1,222,-1.0
1,233,-1.0
1,234,-1.0
1,237,-1.0
1,255,-1.0
1,256,-1.0
1,264,-1.0
1,269,-1.0
1,277,-1.0
1,291,-1.0
1,293,-1.0
1,295,-1.0
1,296,-1.0
1,297,-1.0
1,304,-1.0
1,305,-1.0
1,307,-1.0
1,310,-1.0
1,311,-1.0
1,314,-1.0
1,320,-1.0
1,344,-1.0
1,349,-1.0
1,355,-1.0
1,364,-1.0
1,365,-1.0
1,368,-1.0
1,370,-1.0
1,376,-1.0
1,380,-1.0
1,385,-1.0
1,387,-1.0
1,389,-1.0
1,392,-1.0
1,401,-1.0
1,409,-1.0
1,410,-1.0
1,416,-1.0
1,420,-1.0
1,423,-1.0
1,424,-1.0
1,425,-1.0
1,429,-1.0
1,449,-1.0
1,451,-1.0
1,463,-1.0
1,470,-1.0
1,477,-1.0
1,486,-1.0
1,500,-1.0
1,501,-1.0
1,502,-1.0
1,513,-1.0
1,514,-1.0
1,530,-1.0
1,531,-1.0
1,539,-1.0
1,542,-1.0
1,547,-1.0
1,552,-1.0
1,560,-1.0
1,563,-1.0
1,572,-1.0
1,579,-1.0
1,588,-1.0
1,589,-1.0
1,592,-1.0
1,594,-1.0
1,597,-1.0
1,606,-1.0
1,609,-1.0
1,615,-1.0
1,621,-1.0
1,626,-1.0
1,642,-1.0
1,644,-1.0
1,650,-1.0
1,652,-1.0
1,671,-1.0
1,678,-1.0
1,685,-1.0
1,687,-1.0
1,694,-1.0
1,699,-1.0
1,700,-1.0
1,713,-1.0
1,715,-1.0
1,720,-1.0
1,722,-1.0
1,742,-1.0
1,744,-1.0
1,747,-1.0
1,749,-1.0
1,753,-1.0
1,758,-1.0
1,763,-1.0
1,767,-1.0
1,769,-1.0
1,770,-1.0
1,773,-1.0
1,776,-1.0
1,781,-1.0
1,783,-1.0
1,785,-1.0
1,796,-1.0
1,808,-1.0
1,813,-1.0
1,817,-1.0
1,820,-1.0
1,825,-1.0
1,828,-1.0
1,832,-1.0
1,835,-1.0
1,836,-1.0
1,837,-1.0
1,838,-1.0
1,839,-1.0
1,843,-1.0
