cluster,id_texto,sil_texto
0,1275,-1.0
4,1,-1.0
4,5,-1.0
4,6,-1.0
4,8,-1.0
4,18,-1.0
4,22,-1.0
4,36,-1.0
4,40,-1.0
4,48,-1.0
4,51,-1.0
4,54,-1.0
4,57,-1.0
4,61,-1.0
4,70,-1.0
4,73,-1.0
4,77,-1.0
4,83,-1.0
4,92,-1.0
4,93,-1.0
4,94,-1.0
4,104,-1.0
4,105,-1.0
4,108,-1.0
4,109,-1.0
4,112,-1.0
4,119,-1.0
4,128,-1.0
4,129,-1.0
4,138,-1.0
4,139,-1.0
4,140,-1.0
4,143,-1.0
4,147,-1.0
4,158,-1.0
4,162,-1.0
4,168,-1.0
4,169,-1.0
4,172,-1.0
4,189,-1.0
4,203,-1.0
4,207,-1.0
4,208,-1.0
4,211,-1.0
4,213,-1.0
4,219,-1.0
4,225,-1.0
4,229,-1.0
4,233,-1.0
4,234,-1.0
4,244,-1.0
4,245,-1.0
4,248,-1.0
4,249,-1.0
4,252,-1.0
4,258,-1.0
4,263,-1.0
4,270,-1.0
4,272,-1.0
4,278,-1.0
4,289,-1.0
4,294,-1.0
4,295,-1.0
4,312,-1.0
4,316,-1.0
4,317,-1.0
4,320,-1.0
4,321,-1.0
4,325,-1.0
4,328,-1.0
4,330,-1.0
4,336,-1.0
4,345,-1.0
4,346,-1.0
4,349,-1.0
4,351,-1.0
4,366,-1.0
4,373,-1.0
4,374,-1.0
4,377,-1.0
4,381,-1.0
4,392,-1.0
4,394,-1.0
4,399,-1.0
4,406,-1.0
4,407,-1.0
4,416,-1.0
4,421,-1.0
4,432,-1.0
4,434,-1.0
4,450,-1.0
4,452,-1.0
4,456,-1.0
4,466,-1.0
4,485,-1.0
4,489,-1.0
4,496,-1.0
4,497,-1.0
4,500,-1.0
4,502,-1.0
4,522,-1.0
4,525,-1.0
4,535,-1.0
4,538,-1.0
4,540,-1.0
4,544,-1.0
4,545,-1.0
4,546,-1.0
4,548,-1.0
4,554,-1.0
4,565,-1.0
4,568,-1.0
4,570,-1.0
4,578,-1.0
4,586,-1.0
4,588,-1.0
4,589,-1.0
4,590,-1.0
4,603,-1.0
4,606,-1.0
4,625,-1.0
4,627,-1.0
4,628,-1.0
4,631,-1.0
4,636,-1.0
4,640,-1.0
4,644,-1.0
4,650,-1.0
4,654,-1.0
4,662,-1.0
4,665,-1.0
4,690,-1.0
4,707,-1.0
4,713,-1.0
4,718,-1.0
4,719,-1.0
4,721,-1.0
4,724,-1.0
4,725,-1.0
4,741,-1.0
4,743,-1.0
4,746,-1.0
4,748,-1.0
4,751,-1.0
4,752,-1.0
4,754,-1.0
4,757,-1.0
4,767,-1.0
4,773,-1.0
4,782,-1.0
4,787,-1.0
4,790,-1.0
4,791,-1.0
4,793,-1.0
4,796,-1.0
4,805,-1.0
4,806,-1.0
4,808,-1.0
4,814,-1.0
4,816,-1.0
4,822,-1.0
4,828,-1.0
4,834,-1.0
4,842,-1.0
4,846,-1.0
4,851,-1.0
4,855,-1.0
4,856,-1.0
4,858,-1.0
4,868,-1.0
4,871,-1.0
4,875,-1.0
4,876,-1.0
4,885,-1.0
4,888,-1.0
4,890,-1.0
4,894,-1.0
4,895,-1.0
4,897,-1.0
4,910,-1.0
4,914,-1.0
4,918,-1.0
4,920,-1.0
4,921,-1.0
4,928,-1.0
4,929,-1.0
4,931,-1.0
4,934,-1.0
4,941,-1.0
4,947,-1.0
4,954,-1.0
4,956,-1.0
4,978,-1.0
4,979,-1.0
4,980,-1.0
4,991,-1.0
4,996,-1.0
4,997,-1.0
4,1001,-1.0
4,1007,-1.0
4,1013,-1.0
4,1018,-1.0
4,1025,-1.0
4,1032,-1.0
4,1033,-1.0
4,1038,-1.0
4,1045,-1.0
4,1048,-1.0
4,1053,-1.0
4,1056,-1.0
4,1058,-1.0
4,1064,-1.0
4,1074,-1.0
4,1075,-1.0
4,1079,-1.0
4,1081,-1.0
4,1087,-1.0
4,1099,-1.0
4,1106,-1.0
4,1108,-1.0
4,1115,-1.0
4,1116,-1.0
4,1120,-1.0
4,1125,-1.0
4,1128,-1.0
4,1133,-1.0
4,1134,-1.0
4,1147,-1.0
4,1149,-1.0
4,1150,-1.0
4,1154,-1.0
4,1156,-1.0
4,1160,-1.0
4,1165,-1.0
4,1174,-1.0
4,1178,-1.0
4,1180,-1.0
4,1186,-1.0
4,1189,-1.0
4,1201,-1.0
4,1202,-1.0
4,1206,-1.0
4,1209,-1.0
4,1211,-1.0
4,1216,-1.0
4,1218,-1.0
4,1225,-1.0
4,1228,-1.0
4,1230,-1.0
4,1232,-1.0
4,1236,-1.0
4,1255,-1.0
4,1259,-1.0
4,1260,-1.0
4,1267,-1.0
4,1268,-1.0
4,1284,-1.0
4,1286,-1.0
4,1290,-1.0
4,1295,-1.0
4,1296,-1.0
4,1298,-1.0
4,1308,-1.0
4,1311,-1.0
4,1318,-1.0
4,1327,-1.0
4,1334,-1.0
4,1336,-1.0
4,1337,-1.0
4,1342,-1.0
4,1344,-1.0
4,1349,-1.0
4,1351,-1.0
4,1352,-1.0
4,1355,-1.0
4,1359,-1.0
4,1377,-1.0
4,1382,-1.0
4,1392,-1.0
4,1394,-1.0
4,1399,-1.0
4,1400,-1.0
4,1405,-1.0
4,1409,-1.0
4,1421,-1.0
4,1425,-1.0
4,1428,-1.0
4,1433,-1.0
4,1434,-1.0
4,1446,-1.0
4,1447,-1.0
4,1449,-1.0
4,1462,-1.0
4,1465,-1.0
4,1466,-1.0
4,1472,-1.0
4,1476,-1.0
4,1480,-1.0
4,1481,-1.0
4,1482,-1.0
4,1495,-1.0
4,1503,-1.0
4,1504,-1.0
4,1521,-1.0
4,1525,-1.0
4,1528,-1.0
4,1536,-1.0
4,1538,-1.0
4,1543,-1.0
4,1555,-1.0
4,1556,-1.0
4,1558,-1.0
4,1560,-1.0
4,1566,-1.0
4,1567,-1.0
4,1568,-1.0
4,1579,-1.0
4,1602,-1.0
4,1607,-1.0
4,1615,-1.0
4,1616,-1.0
4,1623,-1.0
4,1624,-1.0
4,1628,-1.0
4,1631,-1.0
4,1635,-1.0
4,1638,-1.0
4,1646,-1.0
4,1649,-1.0
4,1655,-1.0
4,1667,-1.0
4,1675,-1.0
4,1678,-1.0
4,1681,-1.0
4,1682,-1.0
4,1683,-1.0
4,1695,-1.0
4,1699,-1.0
4,1713,-1.0
4,1714,-1.0
4,1728,-1.0
4,1729,-1.0
4,1733,-1.0
4,1734,-1.0
4,1738,-1.0
4,1739,-1.0
4,1749,-1.0
4,1758,-1.0
4,1761,-1.0
4,1762,-1.0
4,1768,-1.0
4,1769,-1.0
4,1777,-1.0
4,1786,-1.0
4,1788,-1.0
4,1794,-1.0
4,1795,-1.0
4,1806,-1.0
4,1810,-1.0
4,1820,-1.0
4,1829,-1.0
4,1832,-1.0
4,1840,-1.0
4,1841,-1.0
4,1843,-1.0
4,1847,-1.0
4,1851,-1.0
4,1865,-1.0
4,1866,-1.0
4,1867,-1.0
4,1871,-1.0
4,1875,-1.0
4,1878,-1.0
4,1879,-1.0
4,1891,-1.0
4,1895,-1.0
4,1910,-1.0
4,1914,-1.0
4,1923,-1.0
4,1925,-1.0
4,1929,-1.0
4,1932,-1.0
4,1933,-1.0
4,1942,-1.0
4,1945,-1.0
4,1948,-1.0
4,1951,-1.0
4,1953,-1.0
4,1966,-1.0
4,1974,-1.0
4,1980,-1.0
4,1982,-1.0
4,1983,-1.0
4,1984,-1.0
4,1994,-1.0
4,1997,-1.0
4,1998,-1.0
4,2001,-1.0
4,2003,-1.0
4,2011,-1.0
4,2018,-1.0
4,2019,-1.0
4,2031,-1.0
4,2038,-1.0
4,2044,-1.0
4,2045,-1.0
4,2046,-1.0
4,2066,-1.0
4,2069,-1.0
4,2080,-1.0
4,2090,-1.0
4,2101,-1.0
4,2103,-1.0
4,2106,-1.0
4,2132,-1.0
4,2134,-1.0
4,2136,-1.0
4,2151,-1.0
4,2157,-1.0
4,2158,-1.0
4,2159,-1.0
4,2163,-1.0
4,2170,-1.0
4,2192,-1.0
4,2196,-1.0
4,2200,-1.0
4,2206,-1.0
4,2207,-1.0
4,2208,-1.0
4,2213,-1.0
4,2215,-1.0
4,2222,-1.0
