cluster,id_texto,sil_texto
0,862,-1.0
0,1828,-1.0
0,1829,-1.0
0,1845,-1.0
0,1863,-1.0
0,1876,-1.0
0,1884,-1.0
0,1900,-1.0
0,1914,-1.0
0,1917,-1.0
0,1928,-1.0
0,1945,-1.0
0,1951,-1.0
0,1952,-1.0
0,1974,-1.0
0,1979,-1.0
0,1988,-1.0
0,1990,-1.0
0,1991,-1.0
0,2004,-1.0
0,2005,-1.0
0,2007,-1.0
0,2011,-1.0
0,2031,-1.0
0,2033,-1.0
0,2035,-1.0
0,2038,-1.0
0,2045,-1.0
0,2046,-1.0
0,2049,-1.0
0,2057,-1.0
0,2086,-1.0
0,2090,-1.0
0,2100,-1.0
0,2111,-1.0
0,2112,-1.0
0,2115,-1.0
0,2119,-1.0
0,2120,-1.0
0,2128,-1.0
0,2133,-1.0
0,2134,-1.0
0,2135,-1.0
0,2146,-1.0
0,2155,-1.0
0,2159,-1.0
0,2160,-1.0
0,2161,-1.0
0,2163,-1.0
0,2201,-1.0
0,2204,-1.0
0,2212,-1.0
0,2216,-1.0
0,2222,-1.0
2,6,-1.0
2,7,-1.0
2,29,-1.0
2,31,-1.0
2,34,-1.0
2,38,-1.0
2,40,-1.0
2,41,-1.0
2,49,-1.0
2,58,-1.0
2,63,-1.0
2,70,-1.0
2,72,-1.0
2,74,-1.0
2,77,-1.0
2,84,-1.0
2,86,-1.0
2,96,-1.0
2,123,-1.0
2,124,-1.0
2,128,-1.0
2,132,-1.0
2,133,-1.0
2,134,-1.0
2,141,-1.0
2,145,-1.0
2,146,-1.0
2,150,-1.0
2,159,-1.0
2,160,-1.0
2,167,-1.0
2,169,-1.0
2,173,-1.0
2,174,-1.0
2,183,-1.0
2,189,-1.0
2,195,-1.0
2,196,-1.0
2,206,-1.0
2,216,-1.0
2,218,-1.0
2,222,-1.0
2,224,-1.0
2,233,-1.0
2,235,-1.0
2,246,-1.0
2,263,-1.0
2,270,-1.0
2,274,-1.0
2,276,-1.0
2,278,-1.0
2,279,-1.0
2,282,-1.0
2,293,-1.0
2,301,-1.0
2,304,-1.0
2,305,-1.0
2,307,-1.0
2,310,-1.0
2,313,-1.0
2,333,-1.0
2,339,-1.0
2,345,-1.0
2,346,-1.0
2,348,-1.0
2,355,-1.0
2,359,-1.0
2,360,-1.0
2,361,-1.0
2,363,-1.0
2,371,-1.0
2,374,-1.0
2,375,-1.0
2,389,-1.0
2,391,-1.0
2,392,-1.0
2,394,-1.0
2,402,-1.0
2,408,-1.0
2,413,-1.0
2,423,-1.0
2,426,-1.0
2,430,-1.0
2,433,-1.0
2,438,-1.0
2,440,-1.0
2,443,-1.0
2,455,-1.0
2,457,-1.0
2,458,-1.0
2,461,-1.0
2,467,-1.0
2,477,-1.0
2,482,-1.0
2,484,-1.0
2,495,-1.0
2,512,-1.0
2,531,-1.0
2,532,-1.0
2,535,-1.0
2,540,-1.0
2,541,-1.0
2,550,-1.0
2,552,-1.0
2,564,-1.0
2,565,-1.0
2,574,-1.0
2,582,-1.0
2,585,-1.0
2,586,-1.0
2,595,-1.0
2,599,-1.0
2,601,-1.0
2,607,-1.0
2,613,-1.0
2,619,-1.0
2,623,-1.0
2,627,-1.0
2,628,-1.0
2,634,-1.0
2,637,-1.0
2,645,-1.0
2,648,-1.0
2,672,-1.0
2,676,-1.0
2,677,-1.0
2,680,-1.0
2,686,-1.0
2,688,-1.0
2,692,-1.0
