cluster,id_texto,sil_texto
0,1847,-1.0
0,1894,-1.0
0,1918,-1.0
0,1953,-1.0
0,1978,-1.0
0,2111,-1.0
0,2132,-1.0
0,2134,-1.0
0,2171,-1.0
0,2186,-1.0
4,4,-1.0
4,8,-1.0
4,10,-1.0
4,24,-1.0
4,25,-1.0
4,27,-1.0
4,29,-1.0
4,30,-1.0
4,40,-1.0
4,41,-1.0
4,45,-1.0
4,57,-1.0
4,61,-1.0
4,72,-1.0
4,85,-1.0
4,88,-1.0
4,109,-1.0
4,113,-1.0
4,123,-1.0
4,127,-1.0
4,128,-1.0
4,133,-1.0
4,136,-1.0
4,144,-1.0
4,150,-1.0
4,151,-1.0
4,155,-1.0
4,156,-1.0
4,159,-1.0
4,165,-1.0
4,182,-1.0
4,183,-1.0
4,186,-1.0
4,194,-1.0
4,203,-1.0
4,204,-1.0
4,206,-1.0
4,212,-1.0
4,219,-1.0
4,223,-1.0
4,224,-1.0
4,225,-1.0
4,226,-1.0
4,227,-1.0
4,228,-1.0
4,231,-1.0
4,232,-1.0
4,238,-1.0
4,239,-1.0
4,241,-1.0
4,242,-1.0
4,243,-1.0
4,247,-1.0
4,250,-1.0
4,251,-1.0
4,252,-1.0
4,257,-1.0
4,275,-1.0
4,276,-1.0
4,286,-1.0
4,288,-1.0
4,299,-1.0
4,306,-1.0
4,313,-1.0
4,317,-1.0
4,334,-1.0
4,345,-1.0
4,356,-1.0
4,357,-1.0
4,372,-1.0
4,379,-1.0
4,381,-1.0
4,383,-1.0
4,387,-1.0
4,388,-1.0
4,391,-1.0
4,392,-1.0
4,393,-1.0
4,395,-1.0
4,402,-1.0
4,403,-1.0
4,409,-1.0
4,410,-1.0
4,413,-1.0
4,418,-1.0
4,423,-1.0
4,431,-1.0
4,435,-1.0
4,448,-1.0
4,461,-1.0
4,473,-1.0
4,479,-1.0
4,485,-1.0
4,486,-1.0
4,491,-1.0
4,502,-1.0
4,509,-1.0
4,514,-1.0
4,515,-1.0
4,521,-1.0
4,526,-1.0
4,541,-1.0
4,548,-1.0
4,552,-1.0
4,561,-1.0
4,569,-1.0
4,570,-1.0
4,573,-1.0
4,581,-1.0
4,582,-1.0
4,583,-1.0
4,585,-1.0
4,590,-1.0
4,595,-1.0
4,600,-1.0
4,604,-1.0
4,607,-1.0
4,610,-1.0
4,614,-1.0
4,615,-1.0
4,616,-1.0
4,617,-1.0
4,618,-1.0
4,625,-1.0
4,626,-1.0
4,643,-1.0
4,648,-1.0
4,651,-1.0
4,656,-1.0
4,661,-1.0
4,662,-1.0
4,667,-1.0
4,671,-1.0
4,672,-1.0
4,675,-1.0
4,677,-1.0
4,679,-1.0
4,680,-1.0
4,682,-1.0
4,684,-1.0
4,699,-1.0
4,721,-1.0
4,731,-1.0
4,732,-1.0
4,737,-1.0
4,741,-1.0
4,742,-1.0
4,748,-1.0
4,752,-1.0
4,760,-1.0
4,765,-1.0
4,767,-1.0
4,768,-1.0
4,772,-1.0
4,779,-1.0
4,783,-1.0
4,785,-1.0
4,788,-1.0
4,798,-1.0
4,799,-1.0
4,805,-1.0
4,814,-1.0
4,820,-1.0
4,822,-1.0
4,823,-1.0
4,832,-1.0
4,833,-1.0
4,839,-1.0
4,840,-1.0
4,847,-1.0
4,849,-1.0
4,850,-1.0
4,870,-1.0
4,881,-1.0
4,883,-1.0
4,887,-1.0
4,889,-1.0
4,893,-1.0
4,896,-1.0
4,899,-1.0
4,900,-1.0
4,902,-1.0
4,912,-1.0
4,919,-1.0
4,930,-1.0
4,931,-1.0
4,942,-1.0
4,943,-1.0
4,945,-1.0
4,951,-1.0
4,955,-1.0
4,961,-1.0
4,965,-1.0
4,972,-1.0
4,973,-1.0
4,978,-1.0
4,983,-1.0
4,985,-1.0
4,990,-1.0
4,993,-1.0
4,996,-1.0
4,1000,-1.0
4,1007,-1.0
4,1012,-1.0
4,1013,-1.0
4,1020,-1.0
4,1026,-1.0
4,1029,-1.0
4,1036,-1.0
4,1040,-1.0
4,1044,-1.0
4,1046,-1.0
4,1048,-1.0
4,1055,-1.0
4,1057,-1.0
4,1063,-1.0
4,1066,-1.0
4,1071,-1.0
4,1082,-1.0
4,1084,-1.0
4,1091,-1.0
4,1095,-1.0
4,1101,-1.0
4,1110,-1.0
4,1114,-1.0
4,1115,-1.0
4,1120,-1.0
4,1123,-1.0
4,1132,-1.0
4,1133,-1.0
4,1134,-1.0
4,1144,-1.0
4,1148,-1.0
4,1153,-1.0
4,1154,-1.0
4,1157,-1.0
4,1166,-1.0
4,1170,-1.0
4,1176,-1.0
4,1184,-1.0
4,1185,-1.0
4,1195,-1.0
4,1196,-1.0
4,1202,-1.0
4,1209,-1.0
4,1211,-1.0
4,1216,-1.0
4,1224,-1.0
4,1225,-1.0
4,1228,-1.0
4,1231,-1.0
4,1233,-1.0
4,1234,-1.0
4,1235,-1.0
4,1240,-1.0
4,1243,-1.0
4,1246,-1.0
4,1247,-1.0
4,1257,-1.0
4,1259,-1.0
4,1262,-1.0
4,1265,-1.0
4,1268,-1.0
4,1269,-1.0
4,1270,-1.0
4,1272,-1.0
4,1280,-1.0
4,1284,-1.0
4,1291,-1.0
4,1292,-1.0
4,1300,-1.0
4,1303,-1.0
4,1305,-1.0
4,1309,-1.0
4,1312,-1.0
4,1313,-1.0
4,1316,-1.0
4,1319,-1.0
4,1327,-1.0
4,1331,-1.0
4,1333,-1.0
4,1345,-1.0
4,1352,-1.0
4,1354,-1.0
4,1355,-1.0
4,1356,-1.0
4,1357,-1.0
4,1363,-1.0
4,1366,-1.0
4,1371,-1.0
4,1379,-1.0
4,1396,-1.0
4,1398,-1.0
4,1400,-1.0
4,1401,-1.0
4,1403,-1.0
4,1404,-1.0
4,1408,-1.0
4,1411,-1.0
4,1416,-1.0
4,1417,-1.0
4,1420,-1.0
4,1426,-1.0
4,1438,-1.0
4,1452,-1.0
4,1456,-1.0
4,1462,-1.0
4,1463,-1.0
4,1464,-1.0
4,1478,-1.0
4,1483,-1.0
4,1486,-1.0
4,1494,-1.0
4,1495,-1.0
4,1505,-1.0
4,1514,-1.0
4,1515,-1.0
4,1518,-1.0
4,1519,-1.0
4,1524,-1.0
4,1527,-1.0
4,1530,-1.0
4,1531,-1.0
4,1532,-1.0
4,1541,-1.0
4,1544,-1.0
4,1545,-1.0
4,1550,-1.0
4,1553,-1.0
4,1555,-1.0
4,1560,-1.0
4,1565,-1.0
4,1571,-1.0
4,1588,-1.0
4,1591,-1.0
4,1602,-1.0
4,1607,-1.0
4,1610,-1.0
4,1613,-1.0
4,1617,-1.0
4,1620,-1.0
4,1625,-1.0
4,1627,-1.0
4,1628,-1.0
4,1648,-1.0
4,1657,-1.0
4,1659,-1.0
4,1671,-1.0
4,1675,-1.0
4,1676,-1.0
4,1677,-1.0
4,1680,-1.0
4,1681,-1.0
4,1684,-1.0
4,1685,-1.0
4,1688,-1.0
4,1691,-1.0
4,1701,-1.0
4,1702,-1.0
4,1708,-1.0
4,1711,-1.0
4,1715,-1.0
4,1717,-1.0
4,1719,-1.0
4,1720,-1.0
4,1722,-1.0
4,1726,-1.0
4,1731,-1.0
4,1736,-1.0
4,1745,-1.0
4,1756,-1.0
4,1758,-1.0
4,1772,-1.0
4,1777,-1.0
4,1781,-1.0
4,1786,-1.0
