cluster,id_texto,sil_texto
1,1,-1.0
1,2,-1.0
1,3,-1.0
1,5,-1.0
1,7,-1.0
1,8,-1.0
1,10,-1.0
1,13,-1.0
1,16,-1.0
1,17,-1.0
1,20,-1.0
1,21,-1.0
1,24,-1.0
1,25,-1.0
1,26,-1.0
1,28,-1.0
1,29,-1.0
1,35,-1.0
1,41,-1.0
1,42,-1.0
1,43,-1.0
1,45,-1.0
1,46,-1.0
1,49,-1.0
1,52,-1.0
1,55,-1.0
1,56,-1.0
1,57,-1.0
1,58,-1.0
1,59,-1.0
1,60,-1.0
1,61,-1.0
1,62,-1.0
1,63,-1.0
1,67,-1.0
1,68,-1.0
1,70,-1.0
1,72,-1.0
1,73,-1.0
1,74,-1.0
1,75,-1.0
1,76,-1.0
1,77,-1.0
1,79,-1.0
1,80,-1.0
1,81,-1.0
1,82,-1.0
1,84,-1.0
1,86,-1.0
1,88,-1.0
1,90,-1.0
1,91,-1.0
1,93,-1.0
1,95,-1.0
1,97,-1.0
1,98,-1.0
1,100,-1.0
1,101,-1.0
1,103,-1.0
1,104,-1.0
1,106,-1.0
1,107,-1.0
1,110,-1.0
1,111,-1.0
1,112,-1.0
1,116,-1.0
1,117,-1.0
1,118,-1.0
1,119,-1.0
1,120,-1.0
1,127,-1.0
1,128,-1.0
1,129,-1.0
1,130,-1.0
1,131,-1.0
1,132,-1.0
1,134,-1.0
1,135,-1.0
1,136,-1.0
1,137,-1.0
1,140,-1.0
1,144,-1.0
1,145,-1.0
1,146,-1.0
1,147,-1.0
1,148,-1.0
1,150,-1.0
1,151,-1.0
1,152,-1.0
1,153,-1.0
1,157,-1.0
1,159,-1.0
1,163,-1.0
1,167,-1.0
1,168,-1.0
1,169,-1.0
1,173,-1.0
1,174,-1.0
1,177,-1.0
1,178,-1.0
1,180,-1.0
1,184,-1.0
1,188,-1.0
1,189,-1.0
1,192,-1.0
1,193,-1.0
1,194,-1.0
1,196,-1.0
1,197,-1.0
1,198,-1.0
1,200,-1.0
1,202,-1.0
1,204,-1.0
1,205,-1.0
1,206,-1.0
1,209,-1.0
1,210,-1.0
1,212,-1.0
1,215,-1.0
1,218,-1.0
1,219,-1.0
1,220,-1.0
1,222,-1.0
1,223,-1.0
1,225,-1.0
1,228,-1.0
1,229,-1.0
1,230,-1.0
1,232,-1.0
1,233,-1.0
1,235,-1.0
1,238,-1.0
1,239,-1.0
1,240,-1.0
1,241,-1.0
1,242,-1.0
1,243,-1.0
1,244,-1.0
1,248,-1.0
1,249,-1.0
1,250,-1.0
1,251,-1.0
1,258,-1.0
1,260,-1.0
1,261,-1.0
1,262,-1.0
1,264,-1.0
1,266,-1.0
1,267,-1.0
1,268,-1.0
1,269,-1.0
1,270,-1.0
1,271,-1.0
1,273,-1.0
1,274,-1.0
1,275,-1.0
1,276,-1.0
1,277,-1.0
1,279,-1.0
1,280,-1.0
1,282,-1.0
1,283,-1.0
1,284,-1.0
1,285,-1.0
1,286,-1.0
1,287,-1.0
1,288,-1.0
1,289,-1.0
1,291,-1.0
1,292,-1.0
1,294,-1.0
1,296,-1.0
1,300,-1.0
1,301,-1.0
1,303,-1.0
1,306,-1.0
1,309,-1.0
1,310,-1.0
1,311,-1.0
1,312,-1.0
1,313,-1.0
1,314,-1.0
1,316,-1.0
1,317,-1.0
1,319,-1.0
1,322,-1.0
1,323,-1.0
1,326,-1.0
1,330,-1.0
1,331,-1.0
1,332,-1.0
1,335,-1.0
1,338,-1.0
1,339,-1.0
1,341,-1.0
1,342,-1.0
1,343,-1.0
1,345,-1.0
1,346,-1.0
1,347,-1.0
1,348,-1.0
1,349,-1.0
1,351,-1.0
1,352,-1.0
1,353,-1.0
1,354,-1.0
1,357,-1.0
1,358,-1.0
1,359,-1.0
1,360,-1.0
1,363,-1.0
1,364,-1.0
1,365,-1.0
1,366,-1.0
1,367,-1.0
1,370,-1.0
1,371,-1.0
1,373,-1.0
1,374,-1.0
1,375,-1.0
1,376,-1.0
1,377,-1.0
1,378,-1.0
1,379,-1.0
1,380,-1.0
1,382,-1.0
1,383,-1.0
1,385,-1.0
1,386,-1.0
1,388,-1.0
1,389,-1.0
1,390,-1.0
1,391,-1.0
1,392,-1.0
1,393,-1.0
1,395,-1.0
1,396,-1.0
1,397,-1.0
1,398,-1.0
1,399,-1.0
1,402,-1.0
1,403,-1.0
1,404,-1.0
1,405,-1.0
1,406,-1.0
1,407,-1.0
1,408,-1.0
1,409,-1.0
1,411,-1.0
1,412,-1.0
1,413,-1.0
1,414,-1.0
1,415,-1.0
1,416,-1.0
1,417,-1.0
1,418,-1.0
1,419,-1.0
1,421,-1.0
1,422,-1.0
1,423,-1.0
1,424,-1.0
1,425,-1.0
1,426,-1.0
1,427,-1.0
1,428,-1.0
1,429,-1.0
1,430,-1.0
1,431,-1.0
1,432,-1.0
1,433,-1.0
1,435,-1.0
1,436,-1.0
1,437,-1.0
1,438,-1.0
1,440,-1.0
1,442,-1.0
1,443,-1.0
1,444,-1.0
1,445,-1.0
1,446,-1.0
1,447,-1.0
1,448,-1.0
1,449,-1.0
1,451,-1.0
1,452,-1.0
1,453,-1.0
1,454,-1.0
1,457,-1.0
1,458,-1.0
1,459,-1.0
1,460,-1.0
1,461,-1.0
1,462,-1.0
1,463,-1.0
1,464,-1.0
1,465,-1.0
1,467,-1.0
1,468,-1.0
1,469,-1.0
1,470,-1.0
1,471,-1.0
1,473,-1.0
1,474,-1.0
1,476,-1.0
1,479,-1.0
1,481,-1.0
1,482,-1.0
1,484,-1.0
1,485,-1.0
1,486,-1.0
1,487,-1.0
1,489,-1.0
1,490,-1.0
1,492,-1.0
1,493,-1.0
1,495,-1.0
1,497,-1.0
1,498,-1.0
1,500,-1.0
1,504,-1.0
1,506,-1.0
1,508,-1.0
1,509,-1.0
1,510,-1.0
1,511,-1.0
1,513,-1.0
1,515,-1.0
1,516,-1.0
1,517,-1.0
1,518,-1.0
1,519,-1.0
1,520,-1.0
1,522,-1.0
1,526,-1.0
1,528,-1.0
1,529,-1.0
1,530,-1.0
1,532,-1.0
1,534,-1.0
1,536,-1.0
1,540,-1.0
1,541,-1.0
1,542,-1.0
1,543,-1.0
1,544,-1.0
1,546,-1.0
1,547,-1.0
1,548,-1.0
1,551,-1.0
1,552,-1.0
1,553,-1.0
1,555,-1.0
1,557,-1.0
1,558,-1.0
1,559,-1.0
1,560,-1.0
1,565,-1.0
1,566,-1.0
1,568,-1.0
1,573,-1.0
1,575,-1.0
1,576,-1.0
1,577,-1.0
1,578,-1.0
1,579,-1.0
1,580,-1.0
1,584,-1.0
1,586,-1.0
1,588,-1.0
1,589,-1.0
1,590,-1.0
1,592,-1.0
1,593,-1.0
1,597,-1.0
1,598,-1.0
1,602,-1.0
1,605,-1.0
1,606,-1.0
1,607,-1.0
1,608,-1.0
1,609,-1.0
1,610,-1.0
1,612,-1.0
1,618,-1.0
1,619,-1.0
1,621,-1.0
1,622,-1.0
1,623,-1.0
1,624,-1.0
1,627,-1.0
1,628,-1.0
1,629,-1.0
1,630,-1.0
1,631,-1.0
1,632,-1.0
1,633,-1.0
1,634,-1.0
1,636,-1.0
1,637,-1.0
1,638,-1.0
1,639,-1.0
1,640,-1.0
1,641,-1.0
1,642,-1.0
1,643,-1.0
1,644,-1.0
1,645,-1.0
1,646,-1.0
1,649,-1.0
1,650,-1.0
1,652,-1.0
1,653,-1.0
1,654,-1.0
1,655,-1.0
1,658,-1.0
1,659,-1.0
1,660,-1.0
1,661,-1.0
1,662,-1.0
1,664,-1.0
1,666,-1.0
1,667,-1.0
1,668,-1.0
1,669,-1.0
1,672,-1.0
1,673,-1.0
1,675,-1.0
1,677,-1.0
1,679,-1.0
1,680,-1.0
1,684,-1.0
1,686,-1.0
1,688,-1.0
1,690,-1.0
1,691,-1.0
1,695,-1.0
1,696,-1.0
1,697,-1.0
1,698,-1.0
1,704,-1.0
1,705,-1.0
1,706,-1.0
1,707,-1.0
1,710,-1.0
1,712,-1.0
1,713,-1.0
1,714,-1.0
1,717,-1.0
1,718,-1.0
1,719,-1.0
1,721,-1.0
1,723,-1.0
1,724,-1.0
1,726,-1.0
1,727,-1.0
1,728,-1.0
1,729,-1.0
1,730,-1.0
1,731,-1.0
1,732,-1.0
1,734,-1.0
1,735,-1.0
1,738,-1.0
1,739,-1.0
1,740,-1.0
