cluster,id_texto,sil_texto
1,0,-1.0
1,6,-1.0
1,12,-1.0
1,15,-1.0
1,18,-1.0
1,27,-1.0
1,43,-1.0
1,57,-1.0
1,66,-1.0
1,79,-1.0
1,81,-1.0
1,87,-1.0
1,94,-1.0
1,98,-1.0
1,99,-1.0
1,107,-1.0
1,114,-1.0
1,119,-1.0
1,123,-1.0
1,128,-1.0
1,133,-1.0
1,134,-1.0
1,148,-1.0
1,151,-1.0
1,158,-1.0
1,161,-1.0
1,162,-1.0
1,164,-1.0
1,167,-1.0
1,172,-1.0
1,177,-1.0
1,178,-1.0
1,180,-1.0
1,188,-1.0
1,195,-1.0
1,198,-1.0
1,201,-1.0
1,220,-1.0
1,228,-1.0
1,236,-1.0
1,238,-1.0
1,243,-1.0
1,245,-1.0
1,247,-1.0
1,254,-1.0
1,271,-1.0
1,280,-1.0
1,281,-1.0
1,298,-1.0
1,304,-1.0
1,306,-1.0
1,312,-1.0
1,319,-1.0
1,324,-1.0
1,328,-1.0
1,332,-1.0
1,333,-1.0
1,336,-1.0
1,337,-1.0
1,341,-1.0
1,348,-1.0
1,350,-1.0
1,357,-1.0
1,361,-1.0
1,362,-1.0
1,365,-1.0
1,369,-1.0
1,376,-1.0
1,379,-1.0
1,381,-1.0
1,388,-1.0
1,405,-1.0
1,411,-1.0
1,416,-1.0
1,419,-1.0
1,420,-1.0
1,421,-1.0
1,434,-1.0
1,446,-1.0
1,447,-1.0
1,448,-1.0
1,452,-1.0
1,453,-1.0
1,465,-1.0
1,472,-1.0
1,473,-1.0
1,477,-1.0
1,481,-1.0
1,487,-1.0
1,490,-1.0
1,492,-1.0
1,494,-1.0
1,500,-1.0
1,504,-1.0
1,527,-1.0
1,528,-1.0
1,529,-1.0
1,532,-1.0
1,534,-1.0
1,540,-1.0
1,548,-1.0
1,555,-1.0
1,556,-1.0
1,559,-1.0
1,575,-1.0
1,576,-1.0
1,578,-1.0
1,585,-1.0
1,598,-1.0
1,610,-1.0
1,611,-1.0
1,612,-1.0
1,613,-1.0
1,616,-1.0
1,624,-1.0
1,626,-1.0
1,630,-1.0
1,641,-1.0
1,648,-1.0
1,650,-1.0
1,651,-1.0
1,652,-1.0
1,654,-1.0
1,656,-1.0
1,660,-1.0
1,674,-1.0
1,688,-1.0
1,694,-1.0
1,702,-1.0
1,707,-1.0
1,710,-1.0
1,713,-1.0
1,714,-1.0
1,721,-1.0
1,723,-1.0
1,728,-1.0
1,730,-1.0
1,731,-1.0
1,738,-1.0
1,740,-1.0
1,742,-1.0
1,749,-1.0
1,750,-1.0
1,755,-1.0
1,763,-1.0
1,768,-1.0
1,776,-1.0
1,783,-1.0
1,787,-1.0
1,796,-1.0
1,800,-1.0
1,802,-1.0
1,811,-1.0
1,812,-1.0
1,834,-1.0
1,836,-1.0
1,839,-1.0
1,844,-1.0
1,845,-1.0
1,848,-1.0
1,856,-1.0
1,863,-1.0
1,864,-1.0
1,869,-1.0
1,870,-1.0
1,872,-1.0
1,873,-1.0
1,874,-1.0
1,883,-1.0
1,887,-1.0
1,896,-1.0
1,900,-1.0
1,904,-1.0
1,906,-1.0
1,912,-1.0
1,914,-1.0
1,915,-1.0
1,919,-1.0
1,920,-1.0
1,921,-1.0
1,923,-1.0
1,924,-1.0
1,929,-1.0
1,938,-1.0
1,947,-1.0
1,950,-1.0
1,951,-1.0
1,953,-1.0
1,954,-1.0
1,964,-1.0
1,978,-1.0
1,980,-1.0
1,982,-1.0
1,985,-1.0
1,991,-1.0
1,993,-1.0
1,995,-1.0
1,997,-1.0
1,1004,-1.0
1,1015,-1.0
1,1023,-1.0
1,1028,-1.0
1,1029,-1.0
1,1035,-1.0
1,1039,-1.0
1,1043,-1.0
1,1050,-1.0
1,1052,-1.0
1,1056,-1.0
1,1059,-1.0
1,1063,-1.0
1,1066,-1.0
1,1075,-1.0
1,1094,-1.0
1,1096,-1.0
1,1106,-1.0
1,1108,-1.0
1,1110,-1.0
1,1116,-1.0
1,1118,-1.0
1,1119,-1.0
1,1123,-1.0
1,1126,-1.0
1,1131,-1.0
1,1141,-1.0
1,1161,-1.0
1,1179,-1.0
1,1187,-1.0
1,1192,-1.0
1,1196,-1.0
1,1202,-1.0
1,1204,-1.0
1,1208,-1.0
1,1210,-1.0
1,1212,-1.0
1,1217,-1.0
1,1219,-1.0
1,1220,-1.0
1,1223,-1.0
1,1225,-1.0
1,1227,-1.0
1,1232,-1.0
1,1265,-1.0
1,1273,-1.0
1,1277,-1.0
1,1279,-1.0
1,1282,-1.0
1,1284,-1.0
1,1286,-1.0
1,1287,-1.0
1,1292,-1.0
1,1294,-1.0
1,1301,-1.0
1,1312,-1.0
1,1326,-1.0
1,1329,-1.0
1,1334,-1.0
1,1338,-1.0
1,1345,-1.0
1,1347,-1.0
1,1349,-1.0
1,1368,-1.0
1,1372,-1.0
1,1377,-1.0
1,1393,-1.0
1,1394,-1.0
1,1403,-1.0
1,1407,-1.0
1,1412,-1.0
1,1414,-1.0
1,1415,-1.0
1,1421,-1.0
1,1422,-1.0
1,1440,-1.0
1,1446,-1.0
1,1448,-1.0
1,1459,-1.0
1,1463,-1.0
1,1471,-1.0
1,1473,-1.0
1,1478,-1.0
1,1484,-1.0
1,1486,-1.0
1,1489,-1.0
1,1494,-1.0
1,1507,-1.0
1,1511,-1.0
1,1516,-1.0
1,1529,-1.0
1,1536,-1.0
1,1557,-1.0
1,1558,-1.0
1,1562,-1.0
1,1574,-1.0
1,1578,-1.0
1,1579,-1.0
1,1583,-1.0
1,1585,-1.0
1,1588,-1.0
1,1611,-1.0
1,1622,-1.0
1,1627,-1.0
1,1628,-1.0
1,1630,-1.0
1,1631,-1.0
1,1633,-1.0
1,1637,-1.0
1,1642,-1.0
1,1645,-1.0
1,1652,-1.0
1,1658,-1.0
1,1660,-1.0
1,1662,-1.0
1,1672,-1.0
1,1675,-1.0
1,1676,-1.0
1,1690,-1.0
1,1693,-1.0
1,1699,-1.0
1,1701,-1.0
1,1706,-1.0
1,1712,-1.0
1,1714,-1.0
1,1715,-1.0
1,1717,-1.0
1,1723,-1.0
1,1728,-1.0
1,1733,-1.0
1,1743,-1.0
1,1761,-1.0
1,1762,-1.0
1,1763,-1.0
1,1766,-1.0
1,1768,-1.0
1,1771,-1.0
1,1772,-1.0
1,1781,-1.0
1,1798,-1.0
1,1801,-1.0
1,1802,-1.0
1,1806,-1.0
1,1811,-1.0
1,1812,-1.0
1,1815,-1.0
1,1817,-1.0
1,1822,-1.0
1,1826,-1.0
1,1831,-1.0
