cluster,id_texto,sil_texto
1,6,-1.0
1,12,-1.0
1,18,-1.0
1,21,-1.0
1,22,-1.0
1,24,-1.0
1,32,-1.0
1,34,-1.0
1,35,-1.0
1,40,-1.0
1,41,-1.0
1,48,-1.0
1,53,-1.0
1,56,-1.0
1,62,-1.0
1,63,-1.0
1,64,-1.0
1,71,-1.0
1,84,-1.0
1,90,-1.0
1,98,-1.0
1,100,-1.0
1,107,-1.0
1,111,-1.0
1,120,-1.0
1,125,-1.0
1,130,-1.0
1,134,-1.0
1,147,-1.0
1,148,-1.0
1,150,-1.0
1,157,-1.0
1,160,-1.0
1,168,-1.0
1,173,-1.0
1,188,-1.0
1,194,-1.0
1,196,-1.0
1,205,-1.0
1,206,-1.0
1,211,-1.0
1,216,-1.0
1,217,-1.0
1,225,-1.0
1,229,-1.0
1,234,-1.0
1,236,-1.0
1,237,-1.0
1,240,-1.0
1,241,-1.0
1,242,-1.0
1,247,-1.0
1,249,-1.0
1,258,-1.0
1,260,-1.0
1,265,-1.0
1,267,-1.0
1,283,-1.0
1,286,-1.0
1,295,-1.0
1,299,-1.0
1,302,-1.0
1,307,-1.0
1,312,-1.0
1,322,-1.0
1,324,-1.0
1,327,-1.0
1,340,-1.0
1,343,-1.0
1,344,-1.0
1,345,-1.0
1,350,-1.0
1,357,-1.0
1,361,-1.0
1,363,-1.0
1,365,-1.0
1,366,-1.0
1,368,-1.0
1,375,-1.0
1,376,-1.0
1,377,-1.0
1,386,-1.0
1,388,-1.0
1,392,-1.0
1,396,-1.0
1,400,-1.0
1,405,-1.0
1,406,-1.0
1,410,-1.0
1,416,-1.0
1,418,-1.0
1,423,-1.0
1,427,-1.0
1,428,-1.0
1,429,-1.0
1,430,-1.0
1,431,-1.0
1,432,-1.0
1,434,-1.0
1,435,-1.0
1,439,-1.0
1,449,-1.0
1,457,-1.0
1,459,-1.0
1,462,-1.0
1,463,-1.0
1,465,-1.0
1,489,-1.0
1,511,-1.0
1,515,-1.0
1,522,-1.0
1,530,-1.0
1,534,-1.0
1,536,-1.0
1,547,-1.0
1,549,-1.0
1,551,-1.0
1,567,-1.0
1,576,-1.0
1,593,-1.0
1,602,-1.0
1,610,-1.0
1,616,-1.0
1,617,-1.0
1,618,-1.0
1,619,-1.0
1,625,-1.0
1,629,-1.0
1,637,-1.0
1,645,-1.0
1,652,-1.0
1,654,-1.0
1,661,-1.0
1,662,-1.0
1,663,-1.0
1,666,-1.0
1,669,-1.0
1,672,-1.0
1,676,-1.0
1,677,-1.0
1,721,-1.0
1,725,-1.0
1,726,-1.0
1,728,-1.0
1,730,-1.0
1,744,-1.0
1,760,-1.0
1,761,-1.0
1,770,-1.0
1,776,-1.0
1,803,-1.0
1,804,-1.0
1,806,-1.0
1,820,-1.0
1,826,-1.0
1,827,-1.0
1,836,-1.0
1,847,-1.0
1,854,-1.0
1,856,-1.0
1,859,-1.0
1,860,-1.0
1,865,-1.0
1,866,-1.0
1,868,-1.0
1,870,-1.0
1,871,-1.0
1,875,-1.0
1,884,-1.0
1,887,-1.0
1,890,-1.0
1,892,-1.0
1,895,-1.0
1,900,-1.0
1,902,-1.0
1,904,-1.0
