cluster,id_texto,sil_texto
1,1,-1.0
1,5,-1.0
1,8,-1.0
1,11,-1.0
1,14,-1.0
1,18,-1.0
1,22,-1.0
1,25,-1.0
1,30,-1.0
1,33,-1.0
1,39,-1.0
1,41,-1.0
1,42,-1.0
1,47,-1.0
1,60,-1.0
1,64,-1.0
1,74,-1.0
1,77,-1.0
1,81,-1.0
1,83,-1.0
1,88,-1.0
1,98,-1.0
1,110,-1.0
1,122,-1.0
1,125,-1.0
1,128,-1.0
1,130,-1.0
1,133,-1.0
1,141,-1.0
1,142,-1.0
1,145,-1.0
1,149,-1.0
1,153,-1.0
1,155,-1.0
1,161,-1.0
1,162,-1.0
1,167,-1.0
1,169,-1.0
1,170,-1.0
1,179,-1.0
1,181,-1.0
1,184,-1.0
1,196,-1.0
1,198,-1.0
1,199,-1.0
1,200,-1.0
1,201,-1.0
1,204,-1.0
1,205,-1.0
1,211,-1.0
1,214,-1.0
1,217,-1.0
1,220,-1.0
1,224,-1.0
1,228,-1.0
1,236,-1.0
1,241,-1.0
1,245,-1.0
1,249,-1.0
1,259,-1.0
1,263,-1.0
1,272,-1.0
1,275,-1.0
1,279,-1.0
1,283,-1.0
1,286,-1.0
1,287,-1.0
1,294,-1.0
1,300,-1.0
1,305,-1.0
1,306,-1.0
1,307,-1.0
1,311,-1.0
1,313,-1.0
1,315,-1.0
1,316,-1.0
1,318,-1.0
1,322,-1.0
1,323,-1.0
1,324,-1.0
1,326,-1.0
1,334,-1.0
1,343,-1.0
1,355,-1.0
1,361,-1.0
1,367,-1.0
1,369,-1.0
1,373,-1.0
1,377,-1.0
1,381,-1.0
1,387,-1.0
1,393,-1.0
1,403,-1.0
1,413,-1.0
1,416,-1.0
1,420,-1.0
1,436,-1.0
1,441,-1.0
1,443,-1.0
1,446,-1.0
1,459,-1.0
1,461,-1.0
1,472,-1.0
1,473,-1.0
1,479,-1.0
1,483,-1.0
1,484,-1.0
1,489,-1.0
1,496,-1.0
1,497,-1.0
1,503,-1.0
1,506,-1.0
1,508,-1.0
1,513,-1.0
1,514,-1.0
1,536,-1.0
1,540,-1.0
1,544,-1.0
1,550,-1.0
1,552,-1.0
1,555,-1.0
1,556,-1.0
