cluster,id_texto,sil_texto
9,4,-1.0
9,13,-1.0
9,16,-1.0
9,22,-1.0
9,25,-1.0
9,40,-1.0
9,43,-1.0
9,47,-1.0
9,50,-1.0
9,52,-1.0
9,54,-1.0
9,55,-1.0
9,56,-1.0
9,64,-1.0
9,65,-1.0
9,69,-1.0
9,71,-1.0
9,72,-1.0
9,75,-1.0
9,79,-1.0
9,89,-1.0
9,90,-1.0
9,92,-1.0
9,98,-1.0
9,99,-1.0
9,106,-1.0
9,113,-1.0
9,121,-1.0
9,122,-1.0
9,130,-1.0
9,131,-1.0
9,134,-1.0
9,135,-1.0
9,140,-1.0
9,159,-1.0
9,167,-1.0
9,169,-1.0
9,174,-1.0
9,192,-1.0
9,194,-1.0
9,201,-1.0
9,211,-1.0
9,212,-1.0
9,216,-1.0
9,218,-1.0
9,222,-1.0
9,227,-1.0
9,241,-1.0
9,242,-1.0
9,255,-1.0
9,258,-1.0
9,262,-1.0
9,270,-1.0
9,271,-1.0
9,272,-1.0
9,277,-1.0
9,280,-1.0
9,282,-1.0
9,284,-1.0
9,291,-1.0
9,296,-1.0
9,302,-1.0
9,311,-1.0
9,321,-1.0
9,322,-1.0
9,327,-1.0
9,329,-1.0
9,330,-1.0
9,334,-1.0
9,341,-1.0
9,348,-1.0
9,357,-1.0
9,358,-1.0
9,361,-1.0
9,366,-1.0
9,370,-1.0
9,383,-1.0
9,391,-1.0
9,392,-1.0
9,395,-1.0
9,401,-1.0
9,403,-1.0
9,405,-1.0
9,413,-1.0
9,420,-1.0
9,421,-1.0
9,422,-1.0
9,432,-1.0
9,439,-1.0
9,440,-1.0
9,442,-1.0
9,446,-1.0
9,448,-1.0
9,457,-1.0
9,460,-1.0
9,461,-1.0
9,467,-1.0
9,468,-1.0
9,469,-1.0
9,475,-1.0
9,479,-1.0
9,488,-1.0
9,498,-1.0
9,502,-1.0
9,505,-1.0
9,511,-1.0
9,515,-1.0
9,520,-1.0
9,527,-1.0
9,528,-1.0
9,530,-1.0
9,535,-1.0
9,539,-1.0
9,542,-1.0
9,548,-1.0
9,549,-1.0
9,550,-1.0
9,551,-1.0
9,552,-1.0
9,567,-1.0
9,570,-1.0
9,571,-1.0
9,572,-1.0
9,577,-1.0
9,584,-1.0
9,585,-1.0
9,588,-1.0
9,589,-1.0
9,591,-1.0
9,600,-1.0
9,603,-1.0
