cluster,id_texto,sil_texto
4,2,-1.0
4,4,-1.0
4,5,-1.0
4,8,-1.0
4,12,-1.0
4,18,-1.0
4,25,-1.0
4,45,-1.0
4,60,-1.0
4,64,-1.0
4,80,-1.0
4,87,-1.0
4,90,-1.0
4,91,-1.0
4,92,-1.0
4,95,-1.0
4,105,-1.0
4,106,-1.0
4,110,-1.0
4,121,-1.0
4,122,-1.0
4,126,-1.0
4,131,-1.0
4,132,-1.0
4,134,-1.0
4,135,-1.0
4,141,-1.0
4,145,-1.0
4,149,-1.0
4,153,-1.0
4,155,-1.0
4,163,-1.0
4,165,-1.0
4,167,-1.0
4,170,-1.0
4,173,-1.0
4,176,-1.0
4,177,-1.0
4,179,-1.0
4,190,-1.0
4,195,-1.0
4,198,-1.0
4,202,-1.0
4,205,-1.0
4,211,-1.0
4,213,-1.0
4,214,-1.0
4,218,-1.0
4,223,-1.0
4,229,-1.0
4,233,-1.0
4,242,-1.0
4,251,-1.0
4,253,-1.0
4,255,-1.0
4,268,-1.0
4,269,-1.0
4,274,-1.0
4,283,-1.0
4,284,-1.0
4,288,-1.0
4,289,-1.0
4,300,-1.0
4,301,-1.0
4,306,-1.0
4,319,-1.0
4,320,-1.0
4,322,-1.0
4,330,-1.0
4,341,-1.0
4,343,-1.0
4,345,-1.0
4,353,-1.0
4,354,-1.0
4,370,-1.0
4,392,-1.0
4,399,-1.0
4,401,-1.0
4,408,-1.0
4,416,-1.0
4,420,-1.0
4,421,-1.0
4,435,-1.0
4,436,-1.0
4,437,-1.0
4,439,-1.0
4,440,-1.0
4,443,-1.0
4,445,-1.0
4,450,-1.0
4,454,-1.0
4,459,-1.0
4,462,-1.0
4,464,-1.0
4,465,-1.0
4,471,-1.0
4,475,-1.0
4,481,-1.0
4,497,-1.0
4,499,-1.0
4,508,-1.0
4,532,-1.0
4,535,-1.0
4,553,-1.0
4,569,-1.0
4,574,-1.0
4,578,-1.0
4,584,-1.0
4,594,-1.0
4,601,-1.0
4,603,-1.0
4,611,-1.0
4,616,-1.0
4,620,-1.0
4,625,-1.0
4,626,-1.0
4,629,-1.0
4,633,-1.0
4,642,-1.0
4,654,-1.0
4,656,-1.0
4,659,-1.0
4,665,-1.0
4,668,-1.0
4,670,-1.0
4,673,-1.0
4,676,-1.0
4,679,-1.0
4,684,-1.0
4,686,-1.0
4,687,-1.0
4,688,-1.0
4,690,-1.0
4,705,-1.0
4,708,-1.0
