cluster,id_texto,sil_texto
9,4,-1.0
9,15,-1.0
9,17,-1.0
9,33,-1.0
9,40,-1.0
9,41,-1.0
9,43,-1.0
9,46,-1.0
9,55,-1.0
9,56,-1.0
9,58,-1.0
9,69,-1.0
9,72,-1.0
9,76,-1.0
9,78,-1.0
9,79,-1.0
9,89,-1.0
9,96,-1.0
9,105,-1.0
9,113,-1.0
9,116,-1.0
9,124,-1.0
9,135,-1.0
9,137,-1.0
9,138,-1.0
9,139,-1.0
9,141,-1.0
9,148,-1.0
9,151,-1.0
9,159,-1.0
9,160,-1.0
9,161,-1.0
9,169,-1.0
9,172,-1.0
9,178,-1.0
9,182,-1.0
9,188,-1.0
9,189,-1.0
9,198,-1.0
9,202,-1.0
9,203,-1.0
9,206,-1.0
9,212,-1.0
9,214,-1.0
9,227,-1.0
9,229,-1.0
9,231,-1.0
9,243,-1.0
9,250,-1.0
9,255,-1.0
9,257,-1.0
9,262,-1.0
9,267,-1.0
9,284,-1.0
9,290,-1.0
9,295,-1.0
9,296,-1.0
9,301,-1.0
9,312,-1.0
9,313,-1.0
9,316,-1.0
9,319,-1.0
9,329,-1.0
9,332,-1.0
9,333,-1.0
9,334,-1.0
9,341,-1.0
9,344,-1.0
9,356,-1.0
9,361,-1.0
9,363,-1.0
9,366,-1.0
9,368,-1.0
9,371,-1.0
9,373,-1.0
9,379,-1.0
9,393,-1.0
9,396,-1.0
9,405,-1.0
9,406,-1.0
9,408,-1.0
9,410,-1.0
9,418,-1.0
9,421,-1.0
9,430,-1.0
9,433,-1.0
9,434,-1.0
9,438,-1.0
9,441,-1.0
9,443,-1.0
9,449,-1.0
9,451,-1.0
9,452,-1.0
9,453,-1.0
9,455,-1.0
9,460,-1.0
9,463,-1.0
9,470,-1.0
9,473,-1.0
9,487,-1.0
9,498,-1.0
9,502,-1.0
9,504,-1.0
9,513,-1.0
9,526,-1.0
9,527,-1.0
9,533,-1.0
9,544,-1.0
9,559,-1.0
9,561,-1.0
9,564,-1.0
9,569,-1.0
9,575,-1.0
9,583,-1.0
9,592,-1.0
9,603,-1.0
9,607,-1.0
9,617,-1.0
9,620,-1.0
9,631,-1.0
9,634,-1.0
9,636,-1.0
9,650,-1.0
9,652,-1.0
9,653,-1.0
9,660,-1.0
9,667,-1.0
9,669,-1.0
9,674,-1.0
9,675,-1.0
9,676,-1.0
9,677,-1.0
9,684,-1.0
9,687,-1.0
9,691,-1.0
9,696,-1.0
9,714,-1.0
9,716,-1.0
9,734,-1.0
9,735,-1.0
9,740,-1.0
9,742,-1.0
9,743,-1.0
9,745,-1.0
9,749,-1.0
9,751,-1.0
9,754,-1.0
9,757,-1.0
9,762,-1.0
9,763,-1.0
9,766,-1.0
9,774,-1.0
9,777,-1.0
9,778,-1.0
9,783,-1.0
9,788,-1.0
9,793,-1.0
9,799,-1.0
9,813,-1.0
9,816,-1.0
9,828,-1.0
9,829,-1.0
9,830,-1.0
9,834,-1.0
9,839,-1.0
9,843,-1.0
9,845,-1.0
9,852,-1.0
9,860,-1.0
9,864,-1.0
9,865,-1.0
9,866,-1.0
9,869,-1.0
9,870,-1.0
9,873,-1.0
9,874,-1.0
9,886,-1.0
9,887,-1.0
9,892,-1.0
9,895,-1.0
9,897,-1.0
9,900,-1.0
9,904,-1.0
9,907,-1.0
9,912,-1.0
9,915,-1.0
9,919,-1.0
9,927,-1.0
9,931,-1.0
9,934,-1.0
9,942,-1.0
9,948,-1.0
9,953,-1.0
9,957,-1.0
9,960,-1.0
9,961,-1.0
9,967,-1.0
9,978,-1.0
9,979,-1.0
9,989,-1.0
9,992,-1.0
9,998,-1.0
9,1019,-1.0
9,1023,-1.0
9,1029,-1.0
9,1030,-1.0
9,1031,-1.0
9,1032,-1.0
9,1040,-1.0
9,1042,-1.0
9,1043,-1.0
9,1048,-1.0
9,1053,-1.0
9,1057,-1.0
9,1058,-1.0
9,1059,-1.0
9,1065,-1.0
9,1074,-1.0
9,1078,-1.0
9,1081,-1.0
9,1085,-1.0
9,1088,-1.0
9,1093,-1.0
9,1094,-1.0
9,1096,-1.0
9,1114,-1.0
9,1115,-1.0
9,1119,-1.0
9,1124,-1.0
9,1130,-1.0
9,1131,-1.0
9,1133,-1.0
9,1137,-1.0
9,1150,-1.0
9,1151,-1.0
9,1152,-1.0
9,1164,-1.0
9,1168,-1.0
9,1169,-1.0
9,1173,-1.0
9,1176,-1.0
9,1189,-1.0
9,1192,-1.0
9,1198,-1.0
9,1217,-1.0
9,1218,-1.0
9,1222,-1.0
9,1229,-1.0
9,1230,-1.0
9,1231,-1.0
9,1232,-1.0
9,1234,-1.0
9,1237,-1.0
9,1239,-1.0
9,1258,-1.0
9,1267,-1.0
9,1270,-1.0
9,1275,-1.0
9,1279,-1.0
9,1292,-1.0
9,1301,-1.0
9,1306,-1.0
9,1311,-1.0
9,1313,-1.0
9,1321,-1.0
9,1325,-1.0
9,1340,-1.0
9,1343,-1.0
9,1346,-1.0
9,1349,-1.0
9,1378,-1.0
9,1379,-1.0
9,1381,-1.0
9,1382,-1.0
9,1385,-1.0
9,1392,-1.0
9,1393,-1.0
9,1394,-1.0
9,1402,-1.0
9,1404,-1.0
9,1406,-1.0
9,1412,-1.0
9,1413,-1.0
9,1414,-1.0
9,1418,-1.0
9,1424,-1.0
9,1438,-1.0
9,1440,-1.0
9,1443,-1.0
9,1446,-1.0
9,1450,-1.0
9,1456,-1.0
9,1457,-1.0
9,1459,-1.0
9,1463,-1.0
9,1467,-1.0
9,1479,-1.0
9,1482,-1.0
9,1488,-1.0
9,1494,-1.0
9,1500,-1.0
9,1502,-1.0
9,1506,-1.0
9,1508,-1.0
9,1511,-1.0
9,1514,-1.0
9,1518,-1.0
9,1523,-1.0
9,1524,-1.0
9,1528,-1.0
9,1531,-1.0
9,1537,-1.0
9,1541,-1.0
9,1542,-1.0
9,1545,-1.0
9,1548,-1.0
9,1549,-1.0
9,1551,-1.0
9,1554,-1.0
9,1570,-1.0
9,1572,-1.0
9,1577,-1.0
9,1584,-1.0
9,1585,-1.0
9,1594,-1.0
9,1606,-1.0
9,1608,-1.0
9,1615,-1.0
9,1616,-1.0
9,1620,-1.0
9,1623,-1.0
9,1627,-1.0
9,1630,-1.0
9,1633,-1.0
9,1635,-1.0
9,1641,-1.0
9,1643,-1.0
9,1646,-1.0
9,1648,-1.0
9,1649,-1.0
9,1654,-1.0
9,1661,-1.0
9,1670,-1.0
9,1675,-1.0
9,1678,-1.0
9,1682,-1.0
9,1687,-1.0
9,1689,-1.0
9,1692,-1.0
9,1694,-1.0
9,1704,-1.0
9,1706,-1.0
9,1712,-1.0
9,1717,-1.0
9,1719,-1.0
9,1721,-1.0
9,1724,-1.0
